route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
1752,1,191958,,,0,9847,1,
1099,2,173670,,,1,8973,2,
1626,3,189014,,,0,9736,3,
1058,3,173671,,,1,9085,4,
1602,2,194133,,,0,9978,5,
1364,2,192347,,,0,9870,6,
1378,2,187338,,,0,9617,7,
1577,1,185460,,,0,9517,8,
1104,4,173672,,,1,8962,9,
1534,3,183513,,,0,9381,10,
1534,1,183515,,,0,9428,10,
774,2,193836,,,0,9957,11,
1312,2,192349,,,1,9872,12,
1578,3,185461,,,1,9577,13,
1496,3,180277,,,0,9272,14,
1532,4,180319,,,0,9286,15,
1061,3,173676,,,0,9085,16,
1364,2,189018,,,0,9779,6,
1378,2,168374,,,0,8553,7,
1611,3,185077,,,1,9478,17,
1523,2,188233,,,1,9703,18,
1579,2,185462,,,0,9529,19,
1535,3,180323,,,1,9315,20,
1580,2,185463,,,1,9564,21,
1517,3,180324,,,1,9419,22,
1616,3,192153,,,0,9865,23,
1577,3,185464,,,0,9576,8,
1447,4,173678,,,0,8945,24,
1660,1,192350,,,1,9873,25,
1364,3,168375,,,0,8574,6,
982,4,152679,,,0,7952,26,
1287,4,161805,,,0,8263,27,
1579,3,185465,,,0,9560,19,
1447,1,193564,,,0,9945,24,
1408,2,171196,,,1,8777,28,
1358,3,168377,,,1,8558,29,
1534,2,183518,,,0,9375,10,
818,2,173682,,,0,9071,30,
1438,2,192352,,,0,9875,31,
1628,4,189026,,,1,9747,32,
1504,2,180330,,,0,9454,33,
1498,2,189030,,,1,9818,34,
1061,3,189031,,,0,9744,16,
1629,3,189032,,,0,9806,35,
1581,3,185466,,,0,9561,36,
1616,4,193838,,,0,9964,23,
1476,3,178773,,,1,9244,37,
1455,1,193839,,,1,9965,38,
1607,1,185078,,,0,9488,39,
1582,1,185467,,,1,9522,40,
1781,2,194134,,,1,9979,41,
1536,3,180334,,,1,9458,42,
1752,4,191959,,,0,9848,1,
1611,3,185079,,,1,9478,17,
