route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1752,1,41,Potockiego pętla 10 - Bardowskiego 04 p. Ciepłowniczą działki-41,p. Ciepłowniczą działki,3,,1E90FF,F5F5F5
1099,1,13,Langiewicza / Wita Stwosza 04 - Lwowska szpital pętla 02 -13,,3,,DCDCDC,282828
1626,1,52,Zaczernie ML System / Fibrain 03 - Bardowskiego 04 -52,,3,,C71585,F5F5F5
1058,1,33,Lubelska Zajezdnia MPK - Kalinowa pętla 04 -33,,3,,00FF00,282828
1602,1,8,Staromiejska / Lubelska 02 nż - Rudna Wielka zakręt 04 nż -8,,3,,8FBC8B,282828
1364,1,59,Przemysłowa U. Celny 05 - Trembeckiego ZTM pętla 01 -59,,3,,FAEBD7,282828
1378,1,9,Olbrachta pętla 09 - Staroniwska pętla 12 -9,,3,,00FF7F,282828
1577,1,19,Łukasiewicza pętla 10 - Obr. Poczty Gdańskiej pętla 08 -19,,3,,B22222,F5F5F5
1104,1,17,Wita Stwosza / Langiewicza 02 - Lwowska szpital pętla 02 -17,,3,,CD5C5C,F5F5F5
1534,1,12,Budziwojska pętla 22 - Trembeckiego ZTM pętla 01 -12,,3,,000000,F5F5F5
774,1,3,Lutoryż pętla 04 - Krakowska granica 15 -3,,3,,9ACD32,282828
1312,1,16,Lubelska szpital 01 - Św. Rocha lasek pętla 11 -16,,3,,BC8F8F,282828
1578,1,19,Miłocińska pętla 01 - Łukasiewicza pętla 10 -19,,3,,B22222,F5F5F5
1496,1,43,Żołnierzy 9 Dyw. Piechoty bloki 06 nż - Niepodległości / Rejtana 02 -43,,3,,191970,F5F5F5
1532,1,10,Łukasiewicza pętla 08 - Bł. Karoliny 09 p. Wywrockiego-10,p. Wywrockiego,3,,A9A9A9,282828
1061,1,33,Kalinowa pętla 04 - Lubelska Zajezdnia MPK -33,,3,,00FF00,282828
1611,1,57,Dworaka targ 01 - Dworaka targ 01 -57,,3,,D2691E,F5F5F5
1523,1,31,Lubelska Zajezdnia MPK - Sikorskiego MPGK 20 -31,,3,,228B22,F5F5F5
1579,1,18,Łukasiewicza pętla 10 - Obr. Poczty Gdańskiej pętla 08 -18,,3,,A52A2A,F5F5F5
1535,1,23,Lubelska Zajezdnia MPK - Matuszczaka pętla 04 -23,,3,,FA8072,282828
1580,1,19,Obr. Poczty Gdańskiej pętla 08 - Łukasiewicza pętla 10 -19,,3,,B22222,F5F5F5
1517,1,40,Bł. Karoliny 09 - Łukasiewicza pętla 08 -40,,3,,B0C4DE,282828
1616,1,37,Hermanowa Przylasek pętla 06 - Trembeckiego ZTM pętla 01 -37,,3,,00BFFF,282828
1447,1,27,Cienista cmentarz 01 - Baligrodzka 01 -27,,3,,BDB76B,282828
1660,1,14,Dworzec Lokalny - Kard. K. Wojtyły pętla 03 nż -14,,3,,F5F5F5,282828
982,1,30,Matuszczaka pętla 04 - Mikołajczyka pętla 01 -30,,3,,ADFF2F,282828
1287,1,16,Św. Rocha lasek pętla 11 - Kalinowa pętla 04 -16,,3,,BC8F8F,282828
1408,1,61,Łukasiewicza pętla 08 - Łukasiewicza pętla 08 -61,,3,,FFE4C4,282828
1358,1,9,Staroniwska pętla 12 - Olbrachta pętla 09 -9,,3,,00FF7F,282828
818,1,26,Cienista cmentarz 01 - Krakowska granica 15 -26,,3,,FFD700,282828
1438,1,51,Jasionka EME Aero 01 - Bardowskiego 02 -51,,3,,FF00FF,F5F5F5
1628,1,52,Bardowskiego 03 - Zaczernie ML System / Fibrain 03 -52,,3,,C71585,F5F5F5
1504,1,40,Łukasiewicza pętla 08 - Bł. Karoliny 09 -40,,3,,B0C4DE,282828
1498,1,36,Bł. Karoliny 09 - Św. Rocha lasek pętla 11 -36,,3,,00FFFF,282828
1629,1,54,Głogów Młp. Zelmer II 02 - Bardowskiego 02-54,,3,,DC143C,F5F5F5
1581,1,18,Pienińska pętla 03 - Obr. Poczty Gdańskiej pętla 08 -18,,3,,A52A2A,F5F5F5
1476,1,22,Bardowskiego 01 - Trzciana pętla 05 -22,,3,,FFE4E1,282828
1455,1,15,Piłsudskiego U. Wojewódzki 03 - Olbrachta pętla 09 -15,,3,,FFFFFF,282828
1607,1,8,Sikorskiego MPGK 20 - Warszawska / Borowa 08-8,,3,,8FBC8B,282828
1582,1,0B,Dworzec Główny PKP 03 - Dworzec Główny PKP 03 -0B,,3,,696969,F5F5F5
1781,1,6,Ustrzycka / Magórska 07 - Malawa OSP 06 nż -6,,3,,CD853F,282828
1536,1,42,Piłsudskiego U. Marszałkowski 08 - Bł. Karoliny 09 -42,,3,,778899,282828
1467,1,35,Kielanówka pętla 14 - Bardowskiego 04 -35,,3,,008B8B,F5F5F5
1631,1,2,Baligrodzka 01 - Kard. K. Wojtyły pętla 03 nż -2,,3,,F08080,282828
1516,1,10,Łukasiewicza pętla 08 - Bł. Karoliny 09 -10,,3,,A9A9A9,282828
1632,1,N2,Słocińska pętla 11 - Bł. Karoliny 09 -N2,,3,,B0E0E6,282828
820,1,26,Krakowska granica 15 - Cienista cmentarz 04 -26,,3,,FFD700,282828
1515,1,36,Św. Rocha lasek pętla 11 - Bł. Karoliny 09 -36,,3,,00FFFF,282828
1583,1,0A,Dworzec Główny PKP 01 - Dworzec Główny PKP 01 -0A,,3,,000000,F5F5F5
956,1,28,Beskidzka granica 07 - Lubelska Zajezdnia MPK -28,,3,,FFFF00,282828
1634,1,1,Załęska Zakład Karny 08 - Krakowska granica 15 -1,,3,,808080,282828
1584,1,19,Łukasiewicza pętla 10 - Miłocińska pętla 01 -19,,3,,B22222,F5F5F5
994,1,30,Mikołajczyka pętla 03 - Matuszczaka pętla 04 -30,,3,,ADFF2F,282828
885,1,47,Baligrodzka 01 - Dworaka targ 01 -47,,3,,6A5ACD,F5F5F5
1108,1,17,Lwowska szpital pętla 02 - Przemysłowa U. Celny 05 -17,,3,,CD5C5C,F5F5F5
1374,1,59,Trembeckiego ZTM pętla 01 - Przemysłowa U. Celny 05 -59,,3,,FAEBD7,282828
118,1,34,Błękitne Wzgórze / Leśne Wzgórze 03 - Lwowska szpital pętla 02 -34,,3,,7FFFD4,282828
905,1,11,Matuszczaka pętla 04 - Potockiego pętla 10 -11,,3,,C0C0C0,282828
899,1,11,Potockiego pętla 10 - Matuszczaka pętla 04 -11,,3,,C0C0C0,282828
1478,1,22,Bardowskiego 01 - Świlcza 58 -22,,3,,FFE4E1,282828
1633,1,2,Kard. K. Wojtyły pętla 03 nż - Baligrodzka 01 -2,,3,,F08080,282828
1529,1,42,Bł. Karoliny 09 - Bł. Karoliny 09 -42,,3,,778899,282828
1010,1,7,Dworzec Lokalny - Krasne Auchan 01 -7,,3,,FFE4E1,282828
1480,1,22,Trzciana pętla 05 - Bardowskiego 04-22,,3,,FFE4E1,282828
1459,1,15,Zwięczycka MPWiK 05 - Olbrachta pętla 09 -15,,3,,FFFFFF,282828
1507,1,32,Niepodległości / Rejtana 02 - Obr. Poczty Gdańskiej pętla 08 -32,,3,,90EE90,282828
1624,1,6,Ustrzycka pętla 01 - Słocińska pętla 11 -6,,3,,CD853F,282828
1606,1,8,Rudna Wielka zakręt 04 - Sikorskiego MPGK 20-8,,3,,8FBC8B,282828
880,1,47,Dworaka targ 01 - Baligrodzka 01 -47,,3,,6A5ACD,F5F5F5
1540,1,12,Siedliska Skrzyżowanie II 05 - Trembeckiego ZTM pętla 01 -12,,3,,000000,F5F5F5
1765,1,51,Bardowskiego 01 - Jasionka - Port Lotniczy -51,,3,,FF00FF,F5F5F5
1100,1,13,Lwowska szpital pętla 02 - Wita Stwosza pętla 01 -13,,3,,DCDCDC,282828
1446,1,4,Lubelska Zajezdnia MPK - Krasne Auchan 01 p. Cienistą cmentarz-4,p. Cienistą cmentarz,3,,1E90FF,F5F5F5
1618,1,6,Słocińska pętla 11 - Ustrzycka pętla 02 nż -6,,3,,CD853F,282828
1615,1,37,Trembeckiego ZTM pętla 01 - Hermanowa Przylasek pętla 03-37,,3,,00BFFF,282828
1622,1,6,Piłsudskiego U. Marszałkowski 08 - Ustrzycka 06 -6,,3,,CD853F,282828
1384,1,58,Hermanowa Czerwonki pętla 53 - Dworzec Lokalny p. Hermanową pętla-58,p. Hermanową pętla,3,,98FB98,282828
1469,1,35,Bardowskiego 02 - Kielanówka pętla 14 -35,,3,,008B8B,F5F5F5
1522,1,32,Obr. Poczty Gdańskiej pętla 08 - Niepodległości / Rejtana 02 -32,,3,,90EE90,282828
821,1,26,Krakowska granica 15 - Wyzwolenia / Warszawska 01 -26,,3,,FFD700,282828
1635,1,54,Bardowskiego 03 - Głogów Młp. Leniar I 01 nż -54,,3,,DC143C,F5F5F5
1488,1,45,Mogielnica pętla 01 - Bardowskiego 04 -45,,3,,000080,F5F5F5
1451,1,26,Biznesowa 06 - Cienista cmentarz 04 -26,,3,,FFD700,282828
1388,1,44,Dworaka targ 01 - Królka pętla 10 -44,,3,,E6E6FA,282828
1586,1,18,Obr. Poczty Gdańskiej pętla 08 - Pienińska pętla 03 -18,,3,,A52A2A,F5F5F5
1291,1,16,Kalinowa pętla 04 - Św. Rocha lasek pętla 11 -16,,3,,BC8F8F,282828
1456,1,4,Lubelska Zajezdnia MPK - Krasne Auchan 01 -4,,3,,1E90FF,F5F5F5
1457,1,51,Bardowskiego 04 - Jasionka EME Aero 02 -51,,3,,FF00FF,F5F5F5
1510,1,31,Sikorskiego MPGK 20 - Lubelska Zajezdnia MPK -31,,3,,228B22,F5F5F5
1766,1,51,Jasionka - Port Lotniczy - Bardowskiego 04 -51,,3,,FF00FF,F5F5F5
1659,1,14,Kard. K. Wojtyły pętla 03 nż - Dworzec Lokalny -14,,3,,F5F5F5,282828
649,1,34,Kielanówka pętla 14 - Lwowska szpital pętla 02 -34,,3,,7FFFD4,282828
1458,1,15,Olbrachta pętla 09 - Zwięczycka MPWiK 05 -15,,3,,FFFFFF,282828
1601,1,8,Sikorskiego MPGK 20 - Rudna Wielka zakręt 04 nż -8,,3,,8FBC8B,282828
1774,1,7,Dworzec Lokalny - Krasne Auchan 01 p. Dworaka targ-7,p. Dworaka targ,3,,FFE4E1,282828
1779,1,46,Albigowa Skrzyż. Młyn 56 nż - Dworzec Lokalny p. Malawę-46,p. Malawę,3,,0000FF,F5F5F5
1309,1,15,Olbrachta pętla 09 - Zwięczycka MPWiK 05  p. Jarową-15, p. Jarową,3,,FFFFFF,282828
1630,1,1,Spichlerzowa pętla 04 - Krakowska granica 15 -1,,3,,808080,282828
647,1,34,Lwowska szpital pętla 02 - Kielanówka pętla 14 -34,,3,,7FFFD4,282828
1385,1,58,Dworzec Lokalny - Hermanowa Czerwonki pętla 53 p. Hermanową pętla-58,p. Hermanową pętla,3,,98FB98,282828
1442,1,15,Cieplińskiego 02 - Zwięczycka MPWiK 05 -15,,3,,FFFFFF,282828
1587,1,18,Obr. Poczty Gdańskiej pętla 08 - Łukasiewicza pętla 10-18,,3,,A52A2A,F5F5F5
954,1,28,Beskidzka granica 07 - Lubelska Zajezdnia MPK p. Racławówkę Doły-28,p. Racławówkę Doły,3,,FFFF00,282828
1538,1,12,Trembeckiego ZTM pętla 01 - Budziwojska pętla 22 -12,,3,,000000,F5F5F5
1782,1,6,Ustrzycka pętla 01 nż - Malawa OSP 06 nż -6,,3,,CD853F,282828
1101,1,17,Przemysłowa U. Celny 05 - Lwowska szpital pętla 02 -17,,3,,CD5C5C,F5F5F5
1383,1,44,Tyczyn Kopernika 02 - Dworaka targ 01 -44,,3,,E6E6FA,282828
1306,1,16,Kalinowa pętla 04 - Wyzwolenia / Warszawska 01 -16,,3,,BC8F8F,282828
1783,1,6,Malawa OSP 06 nż - Ustrzycka pętla 02 nż -6,,3,,CD853F,282828
