service_id,date,exception_type
1,20241006,1
1,20241013,1
1,20241020,1
1,20241027,1
1,20241101,1
1,20241103,1
1,20241117,1
1,20241124,1
1,20241201,1
1,20241208,1
1,20241215,1
1,20241222,1
1,20241225,1
1,20241226,1
1,20241229,1
2,20241005,2
2,20241006,2
2,20241012,2
2,20241013,2
2,20241019,2
2,20241020,2
2,20241026,2
2,20241027,2
2,20241101,2
2,20241102,2
2,20241103,2
2,20241109,2
2,20241110,2
2,20241111,2
2,20241116,2
2,20241117,2
2,20241123,2
2,20241124,2
2,20241130,2
2,20241201,2
2,20241207,2
2,20241208,2
2,20241214,2
2,20241215,2
3,20241227,1
3,20241230,1
3,20241231,1
