 Numer	B/JZ 
 ------------- 
10213	JZ
10217	B
10238	B
10282	B
10296	B
10306	B
10317	B
10327	X
10339	X
10354	X
10369	B
10382	B
10394	B
10398	B
10427	X
10458	B
10472	B
10501	B
10510	B
10513	JZ
10540	B
10756	X
10785	X
10811	X
10814	X
10815	X
10819	X
10820	X
10821	X
10822	B
10823	JZ
10824	JZ
10825	JZ
10826	B
10827	X
10834	X
10836	X
10838	B
10840	X
10842	B
10844	X
10848	X
10853	X
10855	B
10858	B
10859	B
10864	X
10865	X
10869	X
10873	B
10874	X
10875	X
10883	X
10884	B
10885	B
10895	B
10896	X
10897	X
10898	X
10899	X
10900	JZ
10901	B
10913	JZ
10914	B
10916	X
10920	X
10921	X
10923	B
10929	X
10930	B
10941	X
10942	X
10943	X
10944	X
10945	B
10946	X
10947	X
10948	X
10949	X
10950	X
10951	X
10965	B
10966	B
10967	B
10968	B
10972	X
10973	X
10974	X
10983	X
10988	X
10994	JZ
10996	B
10998	B
10999	X
11000	B
11001	X
11003	X
11011	B
11019	X
11020	X
11021	B
11022	B
11023	X
11024	X
11025	X
11026	X
11027	JZ
11028	X
11029	X
11033	X
11058	X
11059	X
11060	X
11061	B
11062	X
11063	B
11064	JZ
11074	X
11075	JZ
11076	X
11077	X
11078	B
11079	X
11080	X
11081	X
11082	X
11083	X
11100	X
11102	JZ
11103	B
11105	X
11107	X
11118	X
11119	X
11120	X
11121	X
11122	JZ
11123	B
11124	B
11125	B
11127	X
11133	X
11134	JZ
11135	B
11136	B
11141	X
11142	X
11146	X
11148	X
11156	B
11157	JZ
11158	B
11159	B
11160	B
11161	B
11162	B
11163	B
11166	X
11167	X
11168	X
11177	X
11178	X
11179	X
11180	X
11184	X
11189	X
11190	X
11191	X
11195	B
11198	B
11199	X
11203	X
11208	B
11209	X
11210	X
11211	X
11218	X
11220	X
11227	X
11228	B
11229	B
11241	JZ
11242	B
11243	X
11246	X
11247	X
11259	X
11260	X
11261	X
11266	X
11267	JZ
11268	X
11269	X
11270	B
11276	X
