N3/1	04:11	06:00
N2/1	04:59	05:45
20/2	07:10	08:58
8/6	07:13	08:02
41/1	07:27	09:20
12/14	07:41	09:13
12/9	08:03	08:05
58/3	08:10	09:17
12/7	08:22	09:33
22/2	08:30	08:53
40/1	11:44	13:17
58/4	13:00	14:53
16/6	14:10	15:01
36/3	16:05	17:21
8/3	17:48	18:50
19/4	19:48	21:33
37/1	20:11	21:30
59/2	22:09	23:24
