
[81] Miłocińska pętla 01 "-" Lubelska Zajezdnia MPK
route_id	service_id	trip_id	arrival_time	departure_time	stop_name
81-1	2	1	19:20:00	19:20:00	Miłocińska pętla 01
81-1	2	2	19:21:00	19:21:00	Miłocińska szkoła 02 nż
81-1	2	3	19:23:00	19:23:00	Obr. Poczty Gdańskiej / Miłocińska 03
81-1	2	4	19:24:00	19:24:00	Obr. Poczty Gdańskiej / Raginisa 01
81-1	2	5	19:26:00	19:26:00	Wyzwolenia / Ofiar Katynia 09
81-1	2	6	19:27:00	19:27:00	Wyzwolenia kościół 07
81-1	2	7	19:28:00	19:28:00	Okulickiego / Wyzwolenia 05 nż
81-1	2	8	19:29:00	19:29:00	Okulickiego / Zwierzyniecka 03 nż
81-1	2	9	19:30:00	19:30:00	Okulickiego centrum handlowe 01
81-1	2	10	19:33:00	19:33:00	Krakowska jedn. wojskowa 01
81-1	2	11	19:35:00	19:35:00	Piłsudskiego U. Wojewódzki 05
81-1	2	12	19:38:00	19:38:00	Dworzec Główny PKP 03
81-1	2	13	19:44:00	19:44:00	Siemieńskiego / Kochanowskiego 02 nż
81-1	2	14	19:45:00	19:45:00	Siemieńskiego U. Skarbowy 04 nż
81-1	2	15	19:46:00	19:46:00	Trembeckiego / Siemieńskiego 07 nż
81-1	2	16	19:47:00	19:47:00	Trembeckiego ZTM 05 nż
81-1	2	17	19:49:00	19:49:00	Lubelska / Borowa 08 nż
81-1	2	18	19:50:00	19:50:00	Lubelska Os. Ogrody 10 nż
81-1	2	19	19:51:00	19:51:00	Lubelska Ogrody Hiszpańskie 12 nż
81-1	2	20	19:52:00	19:52:00	Lubelska MPK 14 nż
81-1	2	21	19:53:00	19:53:00	Lubelska Zajezdnia MPK
