

4	x	x	06:00:00	06:00:00		Al. Jana Pawła II Poręby
4	x	x	06:13:00	06:13:00		Agatówka

4	x	x	06:15:00	06:15:00		Agatówka
4	x	x	06:48:00	06:48:00		Nisko dom handlowy

4	x	x	07:05:00	07:05:00		Nisko dom handlowy
4	x	x	07:40:00	07:40:00		Agatówka

4	x	x	07:45:00	07:45:00		Agatówka
4	x	x	08:18:00	08:18:00		Nisko dom handlowy

4	x	x	08:35:00	08:35:00		Nisko dom handlowy
4	x	x	09:10:00	09:10:00		Agatówka

4	x	x	09:20:00	09:20:00		Agatówka
4	x	x	09:53:00	09:53:00		Nisko dom handlowy

4	x	x	10:05:00	10:05:00		Nisko dom handlowy
4	x	x	10:40:00	10:40:00		Agatówka

4	x	x	10:45:00	10:45:00		Agatówka
4	x	x	11:18:00	11:18:00		Nisko dom handlowy

4	x	x	11:45:00	11:45:00		Nisko dom handlowy
4	x	x	12:20:00	12:20:00		Agatówka

4	x	x	12:25:00	12:25:00		Agatówka
4	x	x	12:58:00	12:58:00		Nisko dom handlowy

4	x	x	13:10:00	13:10:00		Nisko dom handlowy
4	x	x	13:45:00	13:45:00		Agatówka

4	x	x	14:00:00	14:00:00		Agatówka
4	x	x	14:33:00	14:33:00		Nisko dom handlowy

4	x	x	15:10:00	15:10:00		Nisko dom handlowy
4	x	x	15:45:00	15:45:00		Agatówka

4	x	x	16:05:00	16:05:00		Agatówka
4	x	x	16:38:00	16:38:00		Nisko dom handlowy

4	x	x	16:40:00	16:40:00		Nisko dom handlowy
4	x	x	17:15:00	17:15:00		Agatówka

4	x	x	17:20:00	17:20:00		Agatówka
4	x	x	17:53:00	17:53:00		Nisko dom handlowy

4	x	x	18:25:00	18:25:00		Nisko dom handlowy
4	x	x	18:59:00	18:59:00		Agatówka

4	x	x	19:15:00	19:15:00		Agatówka
4	x	x	19:48:00	19:48:00		Nisko dom handlowy

4	x	x	20:05:00	20:05:00		Nisko dom handlowy
4	x	x	20:39:00	20:39:00		Agatówka

4	x	x	20:55:00	20:55:00		Agatówka
4	x	x	21:28:00	21:28:00		Nisko dom handlowy

4	x	x	21:30:00	21:30:00		Nisko dom handlowy
4	x	x	21:57:00	21:57:00		Dąbrowskiego dworzec PKP

4	x	x	22:00:00	22:00:00		Dąbrowskiego dworzec PKP
4	x	x	22:28:00	22:28:00		Nisko dom handlowy

4	x	x	22:30:00	22:30:00		Nisko dom handlowy
4	x	x	22:57:00	22:57:00		Dąbrowskiego dworzec PKP
