

12	x	x	05:20:00	05:20:00		Staszica LO
12	x	x	05:46:00	05:46:00		Nowa Wieś

12	x	x	05:50:00	05:50:00		Nowa Wieś
12	x	x	06:52:00	06:52:00		Rozwadów Rynek

15	x	x	07:15:00	07:15:00		Agatówka
15	x	x	07:46:00	07:46:00		Kasprzyckiego - HSW SA

P	x	x	14:10:00	14:10:00		Tołwińskiego
P	x	x	14:40:00	14:40:00		Okulickiego hala targowa

12	x	x	15:05:00	15:05:00		Rozwadów Rynek
12	x	x	16:05:00	16:05:00		Nowa Wieś

12	x	x	16:20:00	16:20:00		Nowa Wieś
12	x	x	16:32:00	16:32:00		Nisko dom handlowy

4	x	x	16:35:00	16:35:00		Nisko dom handlowy
4	x	x	17:03:00	17:03:00		Dąbrowskiego dworzec PKP
