7769	11/1
7860	30/1
7862	30/2
7872	16/1
8185	16/2
8252	33/1
8556	9/1
8687	58/2
8688	58/1
8878	17/1
8879	17/3
8880	34/1
8881	34/2
8957	17/2
8958	13/3
8959	13/5
8960	13/4
8977	13/2
8978	13/1
9068	26/1
9284	10/1
9291	31/1
9398	12/1
9400	28/2
9428	12/2
9488	8/1
9491	8/2
9512	0A/1
9513	0B/1
9514	19/1
9515	19/2
9516	18/1
9517	19/3
9522	0B/2
9571	19/4
9572	19/5
9573	18/2
9620	37/2
9644	37/1
9654	6/1
9657	6/2
9669	N1/1
9673	N2/1
9694	2/1
9695	2/2
9811	30/3
9815	59/1
9816	22/1
9817	11/2
9847	41/1
9873	14/1
9884	7/2
9889	51/1
9891	35/1
9896	15/2
9908	3/1
9919	14/2
9921	4/1
9926	51/2
9931	1/1
9942	7/1
9943	43/1
9944	44/1
9945	27/1
9946	27/2
9947	47/1
9948	57/1
9951	28/1
9954	28/3
9961	N3/1
9965	15/1

10004	6/6
10006	8/2
10008	58/1
10009	8/5
10010	6/1
10012	1/4
10014	58/3
10016	58/4
10017	6/5
10018	8/6
8173	3/2
8238	30/2
8239	30/3
8245	11/3
8246	11/2
8247	11/1
8248	30/1
8257	28/2
8258	28/4
8553	9/1
8554	9/2
8569	59/3
8700	44/2
8701	44/1
8777	61/1
8877	47/1
8893	47/2
8917	7/1
8965	17/2
8966	17/5
8967	17/3
8968	17/4
8970	34/5
8971	34/4
8972	13/1
8973	34/2
8974	34/1
8980	17/1
8981	13/2
8982	13/3
8983	34/3
8984	34/6
8985	34/7
8986	13/4
9069	26/3
9070	26/2
9071	26/1
9210	35/2
9211	35/1
9217	45/2
9242	22/2
9243	22/4
9273	43/1
9275	32/3
9279	10/2
9295	31/3
9296	31/1
9309	36/1
9314	23/2
9316	32/1
9330	36/3
9332	10/1
9366	12/8
9368	12/12
9370	12/10
9371	12/11
9373	12/2
9374	12/9
9375	12/4
9377	12/1
9392	23/1
9394	24/1
9450	10/6
9451	10/5
9452	40/3
9453	42/1
9454	10/7
9500	0B/3
9502	0A/5
9503	0A/2
