 Numer	B/JZ 
 ------------- 
102-01	X
102-02	X
102-03	X
102-04	X
105-01	X
105-02	X
107-01	X
107-02	X
111-01	X
112-01	X
112-02	B
112-03	X
120-01	X
120-02	X
120-03	X
120-04	B
121-01	X
122-01	X
122-02	X
122-03	X
123-01	X
123-02	X
123-03	B
123-04	X
123-05	X
123-06	B
123-07	JZ
124-01	X
124-02	X
124-03	X
125-01	X
125-02	B
125-03	X
125-04	X
125-05	X
127-01	X
128-01	B
128-02	X
128-03	B
128-04	X
128-05	X
128-06	X
130-01	X
130-02	X
130-03	X
130-04	X
130-05	X
132-01	B
132-02	B
132-03	B
132-04	B
132-05	B
132-06	B
133-01	X
133-02	X
133-03	X
134-01	X
134-02	JZ
134-03	X
135-01	X
135-02	X
135-03	X
138-01	X
138-02	X
138-03	X
138-04	X
138-05	X
138-06	X
139-01	X
139-02	X
139-03	X
139-04	X
139-05	X
139-06	X
139-07	X
140-01	X
140-02	X
144-01	X
144-02	X
144-03	X
144-04	X
144-05	X
144-06	X
144-07	X
148-01	B
148-02	X
148-03	X
148-04	X
149-01	X
151-01	X
151-02	B
151-03	X
153-01	X
153-02	B
153-03	X
155-01	X
155-02	X
155-03	X
155-04	X
158-01	X
158-02	X
158-03	X
160-01	X
160-02	X
160-03	B
161-01	X
162-01	B
162-02	X
162-03	X
164-01	X
164-02	X
164-03	X
164-04	X
164-05	X
164-06	X
164-07	X
168-01	X
168-02	X
169-01	X
169-02	X
169-03	X
169-04	X
169-05	X
169-06	X
169-07	X
169-08	X
171-01	X
171-02	B
172-01	X
172-02	X
172-03	X
172-04	X
172-05	X
172-06	X
172-07	X
173-01	X
173-02	X
173-03	X
173-04	X
173-05	X
173-06	X
173-07	X
174-01	X
174-02	B
174-03	X
174-04	X
174-05	B
174-06	X
174-07	X
175-01	X
175-02	X
176-01	X
179-01	X
179-02	B
179-03	X
179-04	B
179-05	X
179-06	B
179-07	X
179-08	B
179-09	X
179-10	B
180-01	X
182-01	X
182-02	X
182-03	X
182-04	X
182-05	X
192-01	X
192-02	B
192-03	X
192-04	X
192-05	B
194-01	X
194-02	X
194-03	X
194-04	X
194-05	X
194-06	B
194-07	X
195-01	X
195-02	X
195-03	X
198-01	X
198-02	X
199-01	B
199-02	B
199-03	B
199-04	B
199-05	B
199-06	B
200-01	X
200-02	X
202-01	X
202-02	B
203-01	X
203-02	X
203-03	X
204-01	X
204-02	X
204-03	X
204-04	X
204-05	B
207-01	X
207-02	B
207-03	X
209-01	X
210-01	X
211-01	X
211-02	B
211-03	X
211-04	B
212-01	JZ
213-01	X
213-02	B
214-01	X
214-02	X
214-03	X
215-01	X
215-02	X
217-01	X
217-02	B
218-01	X
218-02	X
218-03	X
219-01	B
220-01	X
220-02	B
221-01	X
221-02	B
222-01	B
222-02	X
223-01	X
223-02	JZ
224-01	X
225-01	X
225-02	B
225-03	X
225-04	B
227-01	X
227-02	B
227-03	X
228-01	X
228-02	X
229-01	X
229-02	X
229-03	X
229-04	B
230-01	X
230-02	B
232-01	X
232-02	B
234-01	X
234-02	B
235-01	X
235-02	B
235-03	B
238-01	X
238-02	B
238-03	X
238-04	B
239-01	X
239-02	X
240-01	X
242-01	X
243-01	X
244-01	X
244-02	X
244-03	B
245-01	X
245-02	X
247-01	X
248-01	X
248-02	B
248-03	X
248-04	B
249-01	X
249-02	X
249-03	X
249-04	B
249-05	JZ
250-01	X
253-01	X
253-02	JZ
253-03	X
254-01	X
254-02	X
254-03	X
255-01	X
257-01	X
257-02	B
258-01	X
258-02	B
259-01	B
259-02	B
260-01	X
260-02	X
262-01	X
263-01	X
263-02	JZ
263-03	JZ
264-01	X
265-01	B
267-01	X
267-02	B
268-01	X
268-02	B
269-01	X
269-02	B
269-03	X
269-04	B
269-05	B
270-01	B
272-01	X
273-01	X
274-01	X
274-02	B
275-01	X
275-02	B
277-01	X
277-02	B
278-01	X
278-02	B
278-03	X
279-01	B
280-01	X
283-01	X
283-02	X
284-01	X
285-01	X
285-02	JZ
288-01	X
288-02	B
290-01	X
290-02	B
293-01	X
293-02	X
295-01	X
297-01	X
297-02	B
298-01	X
298-02	B
299-01	X
300-01	X
300-02	X
300-03	X
300-04	X
300-05	X
300-06	X
301-01	X
301-02	B
301-03	X
301-04	B
301-05	X
301-06	X
301-07	B
301-08	X
301-09	X
304-01	X
304-02	X
304-03	X
304-04	B
304-05	B
304-06	X
304-07	X
304-08	X
304-09	B
304-10	X
304-11	X
304-12	X
304-13	B
304-14	X
307-01	X
307-02	X
307-03	B
307-04	X
307-05	X
310-01	X
310-02	B
310-03	X
310-04	B
310-05	X
310-06	B
310-07	X
310-08	X
317-01	X
317-02	X
317-03	X
317-04	B
317-05	JZ
337-01	X
337-02	B
337-03	X
337-04	B
337-05	X
405-01	X
405-02	X
424-01	X
424-02	X
475-01	B
475-02	B
482-01	B
482-02	B
482-03	B
482-04	B
502-01	X
502-02	X
502-03	X
502-04	X
502-05	X
503-01	X
503-02	X
503-03	X
503-04	X
503-05	X
503-06	X
503-07	X
513-01	X
513-02	X
513-03	X
513-04	X
513-05	X
513-06	X
572-01	B
572-02	B
572-03	B
572-04	B
572-05	JZ
601-01	JZN
601-02	JZN
601-03	JZN
601-04	JZN
605-01	JZN
605-02	JZN
608-01	JZN
608-02	JZN
608-03	JZN
608-04	JZN
609-01	JZN
610-01	JZN
610-02	JZN
610-03	JZN
611-02	JZN
664-02	JZN
664-03	JZN
664-04	JZN
722-01	X
722-02	X
722-03	X
722-04	X
722-05	B
733-01	X
733-02	B
794-01	B
794-02	B
794-03	B
794-04	B
794-05	B
794-06	B
902-01	JZN
902-02	JZN
903-01	JZN
904-01	JZN
904-02	JZN
904-03	JZN
917-01	JZN
918-01	JZN
937-01	JZN
948-01	JZN
