

3	x	x	05:35:00	05:35:00		Niezłomnych supermarket
3	x	x	05:50:00	05:50:00		Sochy

3	x	x	05:55:00	05:55:00		Sochy
3	x	x	06:49:00	06:49:00		Ogrodowa bloki

3	x	x	07:00:00	07:00:00		Ogrodowa wiadukt
3	x	x	07:47:00	07:47:00		Pilchów sklep

3	x	x	08:10:00	08:10:00		Pilchów sklep
3	x	x	09:00:00	09:00:00		Sochy

3	x	x	09:20:00	09:20:00		Sochy
3	x	x	10:17:00	10:17:00		Sochy

3	x	x	10:25:00	10:25:00		Sochy
3	x	x	11:15:00	11:15:00		Pilchów sklep

3	x	x	11:35:00	11:35:00		Pilchów sklep
3	x	x	12:25:00	12:25:00		Sochy

3	x	x	12:50:00	12:50:00		Sochy
3	x	x	13:47:00	13:47:00		Sochy

3	x	x	13:55:00	13:55:00		Sochy
3	x	x	14:51:00	14:51:00		Pilchów sklep

3	x	x	15:00:00	15:00:00		Pilchów sklep
3	x	x	15:56:00	15:56:00		Sochy

3	x	x	16:20:00	16:20:00		Sochy
3	x	x	17:11:00	17:11:00		Sochy

3	x	x	17:20:00	17:20:00		Sochy
3	x	x	18:04:00	18:04:00		Pilchów sklep

3	x	x	18:10:00	18:10:00		Pilchów sklep
3	x	x	19:06:00	19:06:00		Sochy

3	x	x	19:15:00	19:15:00		Sochy
3	x	x	19:59:00	19:59:00		Pilchów sklep

3	x	x	20:10:00	20:10:00		Pilchów sklep
3	x	x	20:53:00	20:53:00		Pilchów sklep

3	x	x	22:00:00	22:00:00		Pilchów sklep
3	x	x	22:46:00	22:46:00		Ogrodowa bloki

3	x	x	23:00:00	23:00:00		Ogrodowa wiadukt
3	x	x	23:41:00	23:41:00		Sochy
