 Numer	B/JZ 
 ------------- 
10212	X
10215	JZ
10216	JZ
10226	X
10227	X
10231	X
10234	X
10235	X
10236	X
10237	X
10245	X
10247	X
10251	X
10253	X
10254	X
10262	X
10264	X
10266	X
10268	X
10269	X
10279	X
10281	X
10285	X
10291	X
10294	X
10303	JZ
10309	X
10316	X
10318	X
10320	X
10324	X
10326	X
10333	X
10334	X
10335	X
10337	X
10340	X
10343	X
10344	X
10346	X
10356	X
10362	X
10366	JZ
10370	X
10373	X
10387	X
10401	X
10405	X
10406	X
10409	X
10410	X
10412	X
10415	JZ
10416	X
10419	X
10420	X
10446	X
10449	X
10450	X
10460	X
10466	X
10468	X
10478	X
10479	X
10496	X
10498	X
10499	X
10504	X
10509	X
10515	JZ
10516	JZ
10524	X
10525	X
10529	JZ
10535	X
10536	X
10542	X
10543	JZ
10546	JZ
10804	X
10807	X
