 Numer	B/JZ 
 ------------- 
10258	X
10260	X
10270	JZ
10331	X
10338	X
10353	X
10358	X
10361	X
10399	X
10459	X
10502	X
10503	JZ
10521	X
10816	X
10831	X
10832	X
10835	JZ
10845	JZ
10846	X
10851	JZ
10862	X
10863	X
10866	X
10881	JZ
10912	JZ
10915	X
10954	X
10955	X
10956	X
10957	X
10975	X
10976	X
10977	X
10978	JZ
10979	JZ
10980	X
11012	X
11050	X
11051	X
11052	X
11053	X
11054	X
11055	X
11056	JZ
11073	X
11094	X
11095	X
11096	X
11099	X
11116	X
11117	X
11132	X
11138	X
11139	X
11149	X
11150	X
11151	JZ
11175	X
11176	X
11186	X
11196	X
11197	X
11202	JZ
11205	JZ
11213	JZ
11214	X
11230	JZ
11239	X
11248	X
11249	X
11258	X
11272	JZ
