route_id	service_id	trip_id	arrival_time	departure_time	stop_name


90-1	2	18	16:00:00	16:00:00	Miłocińska pętla 01
90-1	2	18	16:01:00	16:01:00	Miłocińska szkoła 02 nż
90-1	2	18	16:03:00	16:03:00	Obr. Poczty Gdańskiej / Miłocińska 03
90-1	2	18	16:04:00	16:04:00	Obr. Poczty Gdańskiej / Raginisa 01
90-1	2	18	16:06:00	16:06:00	Wyzwolenia / Ofiar Katynia 09
90-1	2	18	16:07:00	16:07:00	Wyzwolenia kościół 07
90-1	2	18	16:08:00	16:08:00	Okulickiego / Wyzwolenia 05 nż
90-1	2	18	16:09:00	16:09:00	Okulickiego / Zwierzyniecka 03 nż
90-1	2	18	16:11:00	16:11:00	Okulickiego centrum handlowe 01
90-1	2	18	16:15:00	16:15:00	Krakowska jedn. wojskowa 01
90-1	2	18	16:18:00	16:18:00	Piłsudskiego U. Wojewódzki 05
90-1	2	18	16:23:00	16:23:00	Dworzec Główny PKP 03
90-1	2	18	16:31:00	16:31:00	Siemieńskiego / Kochanowskiego 02 nż
90-1	2	18	16:32:00	16:32:00	Siemieńskiego U. Skarbowy 04 nż
90-1	2	18	16:33:00	16:33:00	Trembeckiego / Siemieńskiego 07 nż
90-1	2	18	16:34:00	16:34:00	Trembeckiego ZTM 05 nż
90-1	2	18	16:36:00	16:36:00	Lubelska / Borowa 08 nż
90-1	2	18	16:37:00	16:37:00	Lubelska Os. Ogrody 10 nż
90-1	2	18	16:38:00	16:38:00	Lubelska Ogrody Hiszpańskie 12 nż
90-1	2	18	16:39:00	16:39:00	Lubelska MPK 14 nż
90-1	2	18	16:40:00	16:40:00	Lubelska Zajezdnia MPK
