route_id	service_id	trip_id	arrival_time	departure_time	stop_name


90-2	2	19	17:15:00	17:15:00	Lubelska Zajezdnia MPK
90-2	2	19	17:16:00	17:16:00	Lubelska MPK 13 nż
90-2	2	19	17:17:00	17:17:00	Lubelska Ogrody Hiszpańskie 11 nż
90-2	2	19	17:18:00	17:18:00	Lubelska Os. Ogrody 09 nż
90-2	2	19	17:19:00	17:19:00	Lubelska / Borowa 07 nż
90-2	2	19	17:21:00	17:21:00	Lubelska kościół 05 nż
90-2	2	19	17:22:00	17:22:00	Lubelska szpital 01
90-2	2	19	17:24:00	17:24:00	Marszałkowska 01
90-2	2	19	17:28:00	17:28:00	Piłsudskiego U. Wojewódzki 05
90-2	2	19	17:31:00	17:31:00	Dworzec Główny PKP 03
90-2	2	19	17:33:00	17:33:00	Bardowskiego 03
90-2	2	19	17:35:00	17:35:00	Piłsudskiego ZDZ 01 nż
90-2	2	19	17:37:00	17:37:00	Rejtana / Lwowska 01
90-2	2	19	17:38:00	17:38:00	Rejtana / Kustronia 03 nż
90-2	2	19	17:39:00	17:39:00	Rejtana uniwersytet 05
90-2	2	19	17:41:00	17:41:00	Rejtana / Kopisto 07
90-2	2	19	17:42:00	17:42:00	Rejtana / Popiełuszki 09
90-2	2	19	17:45:00	17:45:00	Sikorskiego / Powst. Warszawy 02 nż
90-2	2	19	17:46:00	17:46:00	Sikorskiego katedra 04 nż
90-2	2	19	17:47:00	17:47:00	Łukasiewicza / Sikorskiego 02 nż
90-2	2	19	17:48:00	17:48:00	Łukasiewicza / Zimowit 04 nż
90-2	2	19	17:49:00	17:49:00	Łukasiewicza / Gumińskich 06 nż
90-2	2	19	17:50:00	17:50:00	Łukasiewicza pętla 08
90-2	2	19	17:52:00	17:52:00	Kiepury / Herberta 02 nż
90-2	2	19	17:53:00	17:53:00	Matysowska / Skalista 02 nż
90-2	2	19	17:55:00	17:55:00	Matysowska szkoła 04 nż
90-2	2	19	17:56:00	17:56:00	Matysowska górka 06 nż
90-2	2	19	17:57:00	17:57:00	Matysowska / Pienińska 08 nż
90-2	2	19	17:58:00	17:58:00	Pienińska pętla 03
