route_id	service_id	trip_id	arrival_time	departure_time	stop_name


90-3	2	22	20:20:00	20:20:00	Miłocińska pętla 01
90-3	2	22	20:21:00	20:21:00	Miłocińska szkoła 02 nż
90-3	2	22	20:23:00	20:23:00	Obr. Poczty Gdańskiej / Miłocińska 03
90-3	2	22	20:24:00	20:24:00	Obr. Poczty Gdańskiej / Raginisa 01
90-3	2	22	20:26:00	20:26:00	Wyzwolenia / Ofiar Katynia 09
90-3	2	22	20:27:00	20:27:00	Wyzwolenia kościół 07
90-3	2	22	20:28:00	20:28:00	Okulickiego / Wyzwolenia 05 nż
90-3	2	22	20:29:00	20:29:00	Okulickiego / Zwierzyniecka 03 nż
90-3	2	22	20:30:00	20:30:00	Okulickiego centrum handlowe 01
90-3	2	22	20:33:00	20:33:00	Krakowska jedn. wojskowa 01
90-3	2	22	20:35:00	20:35:00	Piłsudskiego U. Wojewódzki 05
90-3	2	22	20:38:00	20:38:00	Dworzec Główny PKP 03
90-3	2	22	20:44:00	20:44:00	Siemieńskiego / Kochanowskiego 02 nż
90-3	2	22	20:45:00	20:45:00	Siemieńskiego U. Skarbowy 04 nż
90-3	2	22	20:46:00	20:46:00	Trembeckiego / Siemieńskiego 07 nż
90-3	2	22	20:47:00	20:47:00	Trembeckiego ZTM 05 nż
90-3	2	22	20:49:00	20:49:00	Lubelska / Borowa 08 nż
90-3	2	22	20:50:00	20:50:00	Lubelska Os. Ogrody 10 nż
90-3	2	22	20:51:00	20:51:00	Lubelska Ogrody Hiszpańskie 12 nż
90-3	2	22	20:52:00	20:52:00	Lubelska MPK 14 nż
90-3	2	22	20:53:00	20:53:00	Lubelska Zajezdnia MPK
