[90] Lubelska Zajezdnia MPK - Miłocińska pętla 01
route_id	service_id	trip_id	arrival_time	departure_time	stop_name

90-1	2	17	15:00:00	15:00:00	Lubelska Zajezdnia MPK
90-1	2	17	15:01:00	15:01:00	Lubelska MPK 13 nż
90-1	2	17	15:02:00	15:02:00	Lubelska Ogrody Hiszpańskie 11 nż
90-1	2	17	15:03:00	15:03:00	Lubelska Os. Ogrody 09 nż
90-1	2	17	15:04:00	15:04:00	Lubelska / Borowa 07 nż
90-1	2	17	15:07:00	15:07:00	Trembeckiego ZTM 02 nż
90-1	2	17	15:08:00	15:08:00	Trembeckiego / Siemieńskiego 04 nż
90-1	2	17	15:09:00	15:09:00	Siemieńskiego U. Skarbowy 03 nż
90-1	2	17	15:10:00	15:10:00	Siemieńskiego dom studenta 01 nż
90-1	2	17	15:11:00	15:11:00	Żółkiewskiego / Kochanowskiego 01 nż
90-1	2	17	15:17:00	15:17:00	Dworzec Główny PKP 01
90-1	2	17	15:21:00	15:21:00	Piłsudskiego U. Marszałkowski 08
90-1	2	17	15:23:00	15:23:00	Krakowska jedn. wojskowa 02
90-1	2	17	15:26:00	15:26:00	Okulickiego centrum handlowe 02
90-1	2	17	15:28:00	15:28:00	Okulickiego / Zwierzyniecka 04 nż
90-1	2	17	15:30:00	15:30:00	Wyzwolenia / Iranka-Osmeckiego 08
90-1	2	17	15:31:00	15:31:00	Wyzwolenia / Brydaka 10
90-1	2	17	15:33:00	15:33:00	Obr. Poczty Gdańskiej / Wyzwolenia 02
90-1	2	17	15:34:00	15:34:00	Obr. Poczty Gdańskiej / Starzyńskiego 04
90-1	2	17	15:35:00	15:35:00	Obr. Poczty Gdańskiej pętla 06
90-1	2	17	15:37:00	15:37:00	Miłocińska pętla 01
