 Numer	B/JZ 
 ------------- 
10560	B
10561	B
10562	JZ
10563	B
10598	X
10599	X
10618	B
10619	B
10653	B
10657	B
10658	B
10660	B
10683	B
10684	B
10685	B
10686	B
10688	X
10689	B
10699	X
10708	JZ
10709	JZ
10726	X
10751	B
10752	B
10776	X
10778	X
10812	X
10813	X
10817	X
10818	JZ
10833	X
10837	B
10839	X
10841	X
10843	B
10847	X
10849	X
10852	X
10856	B
10857	B
10860	B
10861	X
10867	X
10868	X
10876	X
10877	X
10878	B
10879	JZ
10880	X
10886	B
10887	X
10888	X
10889	X
10890	X
10891	B
10892	JZ
10893	B
10894	B
10902	B
10903	B
10904	JZ
10906	B
10907	B
10908	X
10910	B
10918	JZ
10919	B
10922	X
10926	X
10927	JZ
10928	B
10931	B
10933	X
10934	X
10935	X
10936	X
10937	X
10938	X
10939	JZ
10940	X
10958	X
10961	X
10962	X
10963	JZ
10964	B
10969	B
10970	B
10971	B
10987	X
10989	X
10990	X
10991	X
10992	B
10993	B
10995	B
10997	JZ
11002	X
11004	X
11005	B
11008	JZ
11009	B
11010	B
11015	X
11016	X
11017	B
11018	B
11030	X
11031	X
11032	X
11034	X
11035	JZ
11036	X
11037	X
11038	X
11039	X
11040	X
11046	JZ
11047	JZ
11048	B
11065	X
11066	X
11067	X
11068	X
11069	B
11070	B
11084	X
11085	X
11086	X
11087	X
11088	B
11089	JZ
11090	JZ
11091	JZ
11101	X
11104	JZ
11106	X
11108	JZ
11109	X
11110	X
11111	X
11112	B
11113	B
11126	X
11128	X
11129	X
11130	B
11143	JZ
11144	B
11145	X
11147	X
11152	JZ
11153	JZ
11154	B
11155	B
11164	X
11169	X
11170	X
11171	X
11172	X
11181	X
11182	X
11183	X
11187	JZ
11192	X
11193	X
11194	X
11200	B
11204	X
11207	X
11212	X
11215	X
11219	X
11221	JZ
11222	X
11223	JZ
11224	B
11231	X
11234	JZ
11235	B
11236	X
11237	B
11238	B
11244	X
11245	B
11253	B
11254	X
11255	JZ
11256	X
11257	X
11262	X
11263	X
11264	JZ
11265	X
11273	JZ
11275	B
