[87] Miłocińska pętla 01 - Lubelska Zajezdnia MPK
route_id	service_id	trip_id	arrival_time	departure_time	stop_name

87-1	2	14	18:50:00	18:50:00	Miłocińska pętla 01
87-1	2	14	18:51:00	18:51:00	Miłocińska szkoła 02 nż
87-1	2	14	18:53:00	18:53:00	Obr. Poczty Gdańskiej / Miłocińska 03
87-1	2	14	18:54:00	18:54:00	Obr. Poczty Gdańskiej / Raginisa 01
87-1	2	14	18:56:00	18:56:00	Wyzwolenia / Ofiar Katynia 09
87-1	2	14	18:57:00	18:57:00	Wyzwolenia kościół 07
87-1	2	14	18:58:00	18:58:00	Okulickiego / Wyzwolenia 05 nż
87-1	2	14	18:59:00	18:59:00	Okulickiego / Zwierzyniecka 03 nż
87-1	2	14	19:00:00	19:00:00	Okulickiego centrum handlowe 01
87-1	2	14	19:03:00	19:03:00	Krakowska jedn. wojskowa 01
87-1	2	14	19:05:00	19:05:00	Piłsudskiego U. Wojewódzki 05
87-1	2	14	19:08:00	19:08:00	Dworzec Główny PKP 03
87-1	2	14	19:14:00	19:14:00	Siemieńskiego / Kochanowskiego 02 nż
87-1	2	14	19:15:00	19:15:00	Siemieńskiego U. Skarbowy 04 nż
87-1	2	14	19:16:00	19:16:00	Trembeckiego / Siemieńskiego 07 nż
87-1	2	14	19:17:00	19:17:00	Trembeckiego ZTM 05 nż
87-1	2	14	19:19:00	19:19:00	Lubelska / Borowa 08 nż
87-1	2	14	19:20:00	19:20:00	Lubelska Os. Ogrody 10 nż
87-1	2	14	19:21:00	19:21:00	Lubelska Ogrody Hiszpańskie 12 nż
87-1	2	14	19:22:00	19:22:00	Lubelska MPK 14 nż
87-1	2	14	19:23:00	19:23:00	Lubelska Zajezdnia MPK
