[88] Lubelska Zajezdnia MPK - Miłocińska pętla 01
route_id	service_id	trip_id	arrival_time	departure_time	stop_name

88-1	2	15	20:00:00	20:00:00	Lubelska Zajezdnia MPK
88-1	2	15	20:01:00	20:01:00	Lubelska MPK 13 nż
88-1	2	15	20:02:00	20:02:00	Lubelska Ogrody Hiszpańskie 11 nż
88-1	2	15	20:03:00	20:03:00	Lubelska Os. Ogrody 09 nż
88-1	2	15	20:04:00	20:04:00	Lubelska / Borowa 07 nż
88-1	2	15	20:06:00	20:06:00	Trembeckiego ZTM 02 nż
88-1	2	15	20:07:00	20:07:00	Trembeckiego / Siemieńskiego 04 nż
88-1	2	15	20:08:00	20:08:00	Siemieńskiego U. Skarbowy 03 nż
88-1	2	15	20:09:00	20:09:00	Siemieńskiego dom studenta 01 nż
88-1	2	15	20:10:00	20:10:00	Żółkiewskiego / Kochanowskiego 01 nż
88-1	2	15	20:13:00	20:13:00	Dworzec Główny PKP 01
88-1	2	15	20:15:00	20:15:00	Piłsudskiego U. Marszałkowski 08
88-1	2	15	20:17:00	20:17:00	Krakowska jedn. wojskowa 02
88-1	2	15	20:19:00	20:19:00	Okulickiego centrum handlowe 02
88-1	2	15	20:20:00	20:20:00	Okulickiego / Zwierzyniecka 04 nż
88-1	2	15	20:21:00	20:21:00	Wyzwolenia / Iranka-Osmeckiego 08
88-1	2	15	20:22:00	20:22:00	Wyzwolenia / Brydaka 10
88-1	2	15	20:23:00	20:23:00	Obr. Poczty Gdańskiej / Wyzwolenia 02
88-1	2	15	20:24:00	20:24:00	Obr. Poczty Gdańskiej / Starzyńskiego 04
88-1	2	15	20:25:00	20:25:00	Obr. Poczty Gdańskiej pętla 06
88-1	2	15	20:27:00	20:27:00	Miłocińska pętla 01
