route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
1853,1,208312,,,1,10810,1,
1877,2,208487,,,1,11248,2,
1972,3,208488,,,0,11155,3,
1969,1,208489,,,1,11206,4,
1942,1,208490,,,0,10850,5,
1536,4,208491,,,1,10901,6,
1480,4,198212,,,0,10213,7,
1828,2,208492,,,1,11073,8,
1897,4,208494,,,0,11189,9,
756,3,207276,,,0,10778,10,
1942,3,208495,,,0,10849,5,
1917,4,208496,,,1,10988,11,
1408,4,198216,,,1,10217,12,
994,1,208497,,,1,11057,13,
1823,3,208498,,,1,10868,14,
1954,1,208499,,,0,11098,15,
1457,4,207277,,,1,10785,16,
1834,3,208501,,,1,11034,17,
1946,4,208502,,,0,11082,18,
1846,4,208503,,,0,11177,19,
1877,3,208504,,,1,11257,2,
1388,4,208505,,,1,10840,20,
1938,4,208506,,,1,11159,21,
1897,1,208509,,,0,11201,9,
1846,4,208510,,,0,11178,19,
1886,2,208511,,,1,11117,22,
760,3,208512,,,1,11245,23,
1457,4,208513,,,1,11074,16,
1631,3,208514,,,1,10861,24,
1438,3,207278,,,0,10776,25,
1930,3,208515,,,1,11031,26,
1846,3,208516,,,0,11172,19,
1932,3,208517,,,0,10886,27,
1932,4,208518,,,0,10898,27,
1819,1,208313,,,0,10809,28,
1853,1,208314,,,1,10809,1,
1839,4,208519,,,1,10836,29,
1836,4,208520,,,1,10855,30,
1937,2,208521,,,1,11248,31,
1631,4,208522,,,1,10999,24,
1635,3,208523,,,1,11273,32,
1942,4,208524,,,0,10848,5,
1858,4,208525,,,1,11127,33,
1830,1,208526,,,1,10909,34,
1822,2,208527,,,0,11053,35,
1948,4,208529,,,1,11210,36,
1965,2,208530,,,0,10862,37,
1457,1,198234,,,1,10234,16,
1954,2,208531,,,0,11138,15,
1853,4,208315,,,1,10814,1,
1969,2,208532,,,1,11202,4,
1487,4,198238,,,0,10238,38,
1929,4,208533,,,0,11119,39,
1916,1,208534,,,1,11233,40,
1945,1,208536,,,0,11232,41,
1826,4,208537,,,1,11079,42,
1874,1,208538,,,0,11092,43,
1848,1,208539,,,0,10828,44,
1890,4,208540,,,1,11020,45,
955,2,208542,,,1,10975,46,
912,3,203414,,,1,10653,47,
1902,1,208543,,,0,11014,48,
1936,3,208544,,,1,11015,49,
1920,3,208545,,,0,10926,50,
756,1,208546,,,0,11240,10,
1901,1,208547,,,0,10981,51,
1961,1,208548,,,1,11006,52,
1846,4,208549,,,0,11179,19,
1631,3,208551,,,1,11010,24,
1865,4,208552,,,1,11220,53,
982,3,208553,,,0,11181,54,
1408,4,198258,,,1,10217,12,
1388,2,198261,,,1,10258,20,
1954,2,208554,,,0,11095,15,
1633,3,208555,,,0,11212,55,
1816,4,208556,,,1,10913,56,
994,2,198263,,,1,10260,13,
1822,2,208558,,,0,11052,35,
982,3,208559,,,0,11183,54,
1954,4,208561,,,0,10947,15,
736,4,208563,,,1,11227,57,
893,3,203426,,,0,10653,58,
1822,3,208565,,,0,11069,35,
1938,2,208566,,,1,11150,21,
1829,4,208567,,,1,10944,59,
994,1,208568,,,1,11057,13,
1877,2,208569,,,1,11248,2,
1932,3,208570,,,0,10886,27,
1903,4,208571,,,0,10945,60,
952,3,203434,,,1,10599,61,
1383,2,198276,,,0,10258,62,
1839,4,208572,,,1,10836,29,
1862,4,208573,,,0,11024,63,
1950,4,208574,,,1,11190,64,
1635,2,198277,,,1,10270,32,
1901,2,208575,,,0,10980,51,
1962,4,208578,,,1,11123,65,
1826,4,208579,,,1,11079,42,
1848,4,208580,,,0,10916,44,
1953,4,208581,,,1,10929,66,
1633,3,208582,,,0,11005,55,
1844,2,208583,,,1,11176,67,
1901,3,208584,,,0,10991,51,
1826,3,208585,,,1,11090,42,
1633,1,198290,,,0,10281,55,
1839,1,208586,,,1,10830,29,
1628,4,198291,,,1,10282,68,
1849,3,208588,,,0,11085,69,
1937,4,208589,,,1,11267,31,
1929,3,208590,,,0,11109,39,
1910,3,208591,,,1,10990,70,
1480,3,203445,,,0,10685,7,
1965,2,208592,,,0,10866,37,
1853,3,208316,,,1,10812,1,
1897,3,208593,,,0,11192,9,
1832,3,208595,,,1,10970,71,
1910,1,208596,,,1,10982,70,
1960,4,208597,,,1,10897,72,
1863,1,208598,,,1,11049,73,
1934,4,208599,,,0,11211,74,
1887,4,208601,,,0,11081,75,
1626,4,198308,,,0,10296,76,
1877,2,208602,,,1,11249,2,
1853,2,208317,,,1,10816,1,
1972,1,208603,,,0,10829,3,
1968,3,208605,,,1,10852,77,
982,3,208606,,,0,11181,54,
956,3,203452,,,0,10598,78,
1626,3,203453,,,0,10560,76,
1954,3,208609,,,0,10937,15,
1901,3,208612,,,0,10993,51,
1887,2,208613,,,0,10955,75,
1956,4,208614,,,1,10983,79,
1913,4,208615,,,0,10999,80,
1884,3,208616,,,0,11004,81,
1942,3,208617,,,0,10847,5,
1902,4,208618,,,0,11021,48,
1938,3,208619,,,1,11145,21,
1944,3,208620,,,0,11070,82,
1535,4,198319,,,1,10306,83,
1865,4,208621,,,1,10996,53,
1956,4,208622,,,1,11210,79,
1844,4,208623,,,1,11180,67,
1829,3,208624,,,1,10962,59,
1942,3,208625,,,0,10841,5,
1529,4,208626,,,1,10896,84,
1907,1,208627,,,0,11233,85,
1628,2,208628,,,1,10832,68,
1902,1,208629,,,0,11013,48,
1915,3,208630,,,1,11273,86,
1872,4,208631,,,1,10942,87,
1822,1,208632,,,0,11044,35,
1877,4,208633,,,1,11260,2,
756,1,198323,,,0,10309,10,
948,3,203460,,,1,10699,88,
1874,2,208635,,,0,11096,43,
1903,3,208636,,,0,10936,60,
1852,1,208637,,,0,10924,89,
1835,4,208639,,,1,10874,90,
1863,3,208641,,,1,11040,73,
1770,3,203465,,,0,10598,91,
1844,3,208642,,,1,11172,67,
1924,1,208643,,,0,10960,92,
1926,1,208644,,,0,10882,93,
1325,4,208645,,,1,10923,94,
1954,1,208646,,,0,11140,15,
1863,2,208647,,,1,11052,73,
1438,3,207289,,,0,10776,25,
1659,4,208648,,,0,11246,95,
1387,4,198332,,,0,10317,96,
1965,3,208649,,,0,10868,37,
1848,3,208650,,,0,10903,44,
1901,2,208653,,,0,10977,51,
1966,4,208654,,,1,10883,97,
994,3,208655,,,1,11181,13,
1861,3,208656,,,1,10878,98,
1537,3,203476,,,0,10751,99,
1930,4,208657,,,1,11062,26,
1438,3,208658,,,0,11126,25,
1929,3,208660,,,0,11110,39,
1865,3,208662,,,1,11222,53,
1839,4,208663,,,1,10834,29,
756,4,208664,,,0,11000,10,
1887,4,208665,,,0,11081,75,
1877,4,208666,,,1,11261,2,
1476,3,208667,,,1,10908,100,
1886,4,208668,,,1,11119,22,
1850,3,208669,,,0,10888,101,
1890,1,208670,,,1,11013,45,
1930,3,208671,,,1,11065,26,
1968,2,208672,,,1,10851,77,
1386,2,198350,,,1,10258,102,
1856,3,208674,,,0,10890,103,
1944,2,208675,,,0,11050,82,
1457,3,207292,,,1,10776,16,
1438,3,203485,,,0,10653,25,
774,3,208676,,,0,11244,104,
1819,3,208318,,,0,10817,28,
1938,4,208677,,,1,11141,21,
1955,1,208678,,,0,10932,105,
954,4,198351,,,0,10327,106,
1819,1,208319,,,0,10809,28,
1965,3,208680,,,0,10868,37,
760,1,198352,,,1,10309,23,
1823,3,208683,,,1,10867,14,
1909,4,208684,,,1,11208,107,
1842,4,208685,,,0,11191,108,
1908,3,208686,,,0,10907,109,
1840,3,208687,,,1,10926,110,
1863,3,208688,,,1,11047,73,
1844,2,208689,,,1,11176,67,
1061,2,198356,,,0,10331,111,
1881,3,208690,,,1,11129,112,
1930,3,208691,,,1,11030,26,
1828,1,208692,,,1,11072,8,
1386,1,198358,,,1,10333,102,
1058,4,208693,,,1,10884,113,
1061,1,198361,,,0,10335,111,
994,3,208695,,,1,11183,13,
1942,3,208696,,,0,10849,5,
1609,4,208697,,,0,10840,114,
1529,3,208698,,,1,10887,84,
1840,4,208699,,,1,10921,110,
1839,3,208700,,,1,10833,29,
1837,3,208701,,,1,10879,115,
994,1,198363,,,1,10337,13,
1633,2,198365,,,0,10338,55,
952,4,198366,,,1,10339,61,
1886,2,208703,,,1,11117,22,
1930,4,208704,,,1,11062,26,
1956,3,208705,,,1,11207,79,
1944,2,208706,,,0,11050,82,
1438,3,203498,,,0,10726,25,
1966,4,208707,,,1,10883,97,
1626,1,208708,,,0,11165,76,
1850,3,208709,,,0,10888,101,
1829,3,208710,,,1,10939,59,
1874,3,208711,,,0,11090,43,
1910,4,208712,,,1,10973,70,
1543,4,208713,,,1,11061,116,
1816,4,208714,,,1,11033,56,
1846,1,208715,,,0,11174,19,
1904,4,208716,,,1,10855,117,
1058,4,208718,,,1,11118,113,
1863,3,208719,,,1,11048,73,
1609,3,203508,,,0,10683,114,
1972,3,208720,,,0,11145,3,
1930,3,208721,,,1,11065,26,
1969,4,208722,,,1,11203,4,
1954,3,208723,,,0,10961,15,
1478,1,198378,,,1,10346,118,
1862,4,208724,,,0,11028,63,
1826,1,208725,,,1,10959,42,
1969,3,208727,,,1,11204,4,
1862,3,208728,,,0,11038,63,
1631,2,198381,,,1,10338,24,
1480,3,203517,,,0,10686,7,
1890,3,208729,,,1,11015,45,
1922,2,208730,,,0,11056,119,
1878,3,208731,,,0,11193,120,
1953,1,208732,,,1,10932,66,
1929,2,208734,,,0,11117,39,
1967,3,208735,,,1,11222,121,
1902,1,208736,,,0,11014,48,
1886,1,208737,,,1,11115,22,
1828,3,208738,,,1,11067,8,
1852,3,208739,,,0,10927,89,
1937,2,208740,,,1,11258,31,
1940,2,208741,,,1,11116,122,
1926,3,208743,,,0,10880,93,
1844,3,208744,,,1,11183,67,
1826,3,208745,,,1,11086,42,
1972,3,208746,,,0,11087,3,
1908,4,208747,,,0,11107,109,
1471,2,198391,,,0,10353,123,
1866,1,208748,,,0,11226,124,
1958,4,208749,,,0,11162,125,
956,4,198392,,,0,10354,78,
1924,3,208750,,,0,10937,92,
1765,3,203534,,,1,10726,126,
1937,2,208752,,,1,11258,31,
1822,1,208753,,,0,11049,35,
1822,1,208754,,,0,11042,35,
1942,3,208756,,,0,10847,5,
1960,4,208757,,,1,10897,72,
1937,4,208758,,,1,11268,31,
1874,2,208759,,,0,11094,43,
1822,3,208760,,,0,11032,35,
1954,1,208761,,,0,11097,15,
1937,4,208762,,,1,11269,31,
1853,4,208320,,,1,10811,1,
1958,4,208763,,,0,11148,125,
