

11	x	x	05:35:00	05:35:00		KEN parking
11	x	x	05:45:00	05:45:00		Kasztanowa

11	x	x	05:50:00	05:50:00		Kasztanowa
11	x	x	06:32:00	06:32:00		Wrzosowa Skamat

11	x	x	06:35:00	06:35:00		Wrzosowa Skamat
11	x	x	07:18:00	07:18:00		Kasztanowa

11	x	x	07:25:00	07:25:00		Kasztanowa
11	x	x	07:49:00	07:49:00		Kwiatkowskiego urząd miasta

11	x	x	13:40:00	13:40:00		Staszica stacja paliw
11	x	x	14:09:00	14:09:00		Kasztanowa

11	x	x	14:15:00	14:15:00		Kasztanowa
11	x	x	14:57:00	14:57:00		Wrzosowa Skamat

11	x	x	15:05:00	15:05:00		Wrzosowa Skamat
11	x	x	15:47:00	15:47:00		Kasztanowa

P	x	x	16:05:00	16:05:00		Tołwińskiego
P	x	x	16:35:00	16:35:00		Okulickiego hala targowa
