 Numer	B/JZ 
 ------------- 
10234	X
10281	X
10309	X
10333	X
10335	X
10337	X
10346	X
10373	X
10415	JZ
10450	X
10496	X
10515	JZ
10542	X
10809	X
10810	X
10828	X
10829	X
10830	X
10850	X
10854	JZ
10870	X
10871	X
10872	X
10882	X
10905	JZ
10909	X
10911	X
10917	X
10924	X
10925	JZ
10932	X
10952	X
10953	X
10959	X
10960	X
10981	X
10982	X
10984	X
10985	X
10986	JZ
11006	X
11007	X
11013	X
11014	X
11041	X
11042	X
11043	X
11044	X
11045	X
11049	JZ
11057	X
11071	X
11072	X
11092	X
11093	X
11097	X
11098	X
11114	X
11115	X
11131	X
11137	X
11140	X
11165	JZ
11173	X
11174	X
11185	X
11188	X
11201	X
11206	X
11216	X
11217	X
11225	X
11226	X
11232	X
11233	X
11240	X
11250	X
11251	X
11252	X
11271	JZ
11274	JZ
