Numer	B/JZ
-------------
8206	X
8208	X
8235	X
8236	X
8237	X
8241	X
8242	X
8243	X
8253	X
8558	X
8559	X
8572	X
8574	X
8698	X
8699	X
8875	X
8876	X
8920	X
8929	X
8930	X
8931	X
8932	X
8933	X
8952	X
8953	X
8954	X
8955	X
8969	X
8979	X
8987	X
8988	X
8989	X
8990	X
8991	X
8992	X
8994	X
9001	X
9002	X
9077	X
9078	X
9079	X
9085	X
9206	X
9207	X
9209	X
9219	X
9220	X
9244	X
9272	X
9277	X
9278	X
9289	X
9290	X
9292	X
9293	X
9306	X
9307	X
9308	X
9315	X
9317	X
9324	X
9335	X
9336	X
9355	X
9356	X
9359	X
9361	X
9362	X
9380	X
9381	X
9382	X
9393	X
9396	X
9419	X
9421	X
9422	X
9426	X
9458	X
9459	X
9460	X
9461	X
9478	X
9485	X
9486	X
9501	X
9507	X
9508	X
9509	X
9510	X
9511	X
9518	X
9528	X
9531	X
9533	X
9537	X
9540	X
9541	X
9549	X
9550	X
9557	X
9558	X
9559	X
9560	X
9561	X
9562	X
9569	X
9576	X
9577	X
9578	X
9579	X
9580	X
9589	X
9607	X
9622	X
9630	X
9637	X
9641	X
9671	X
9687	X
9688	X
9690	X
9691	X
9692	X
9693	X
9708	X
9709	X
9711	X
9715	X
9716	X
9736	X
9741	X
9744	X
9752	X
9806	X
9810	X
9813	X
9823	X
9824	X
9826	X
9864	X
9865	X
9885	X
9894	X
9902	X
9904	X
9906	X
9907	X
9909	X
9915	X
9918	X
9927	X
9928	X
9930	X
9932	X
9937	X
9940	X
9950	X
9955	X
9959	X
9960	X
9968	X
9975	X
9976	X
9977	X
9983	X
9985	X
9986	X
9987	X
9988	X
9990	X
9991	X
9993	X
9994	X
9999	X
10000	X
10001	X
10002	X
10003	X
10005	X
10011	X
10013	X
10015	X
10117	X
10119	X
10120	X
10121	X
10122	X
10123	X
10124	X
10125	X
10126	X
10127	X
10130	X
10131	X
10132	X
10133	X
