 Numer	B/JZ 
 ------------- 
10207	X
10232	X
10250	X
10257	X
10258	X
10260	X
10261	X
10267	JZ
10270	JZ
10273	X
10274	X
10278	X
10284	X
10286	X
10293	JZ
10302	X
10304	X
10310	X
10315	X
10323	X
10328	X
10329	X
10330	X
10331	X
10338	X
10342	X
10347	X
10351	X
10352	X
10353	X
10358	X
10359	X
10361	X
10363	X
10375	X
10386	X
10389	JZ
10392	JZ
10397	X
10399	X
10408	X
10413	X
10417	X
10418	JZ
10421	X
10431	JZ
10432	X
10445	X
10451	X
10456	X
10459	X
10461	JZ
10470	X
10473	X
10483	JZ
10486	JZ
10488	X
10489	JZ
10490	X
10502	X
10503	JZ
10505	X
10517	X
10518	X
10520	X
10521	X
10527	X
10541	JZ
10547	JZ
10551	JZ
10555	JZ
10806	X
